Weight,Nested,Order,Procedure,TrialID,PicFile2,Sound,WavFile2,Condition,Image-id,conid,AOI1,AOI2,AOI3,AOI4,AOI1-id,AOI2-id,AOI3-id,AOI4-id,targetAOI,competitorAOI,rhymeAOI,distAOI
,,1,,F38_11,F38_11.bmp,kia4,f2-kia4.wav,FILL,49.bmp,11,fiu1,kia4,riu3,giu2,30,49,75,7,2,1,3,4
,,2,,F42_11,F42_11.bmp,fiu4,f1-fiu4.wav,FILL,43.bmp,11,zi3,rai2,fiu4,me4,45,67,43,94,3,4,2,1
,,3,,F26_07,F26_07.bmp,fe2,m1-fe2.wav,SHRY,53.bmp,7,ga3,ra1,fe2,me4,61,50,53,17,3,1,4,2
,,4,,T15_04,T15_04.bmp,rai2,f1-rai2.wav,SLTI,67.bmp,4,rai4,fai2,rai2,pe3,16,13,67,22,3,1,2,4
,,5,,F21_06,F21_06.bmp,biu1,m1-biu1.wav,SLHP,24.bmp,6,pe3,be2,biu1,ri4,22,125,24,20,3,2,4,1
,,6,,F19_05,F19_05.bmp,fi3,m1-fi3.wav,SHHP,56.bmp,5,fi3,be1,kiu2,fe4,56,5,18,99,1,4,2,3
,,7,,T08_02,T08_02.bmp,ga4,f1-ga4.wav,SHTI,82.bmp,2,ga3,ra4,be1,ga4,42,132,5,82,4,1,2,3
,,8,,F22_06,F22_06.bmp,fai3,m2-fai3.wav,SLHP,55.bmp,6,ra2,biu1,zi4,fai3,12,24,3,55,4,3,1,2
,,9,,F24_05,F24_05.bmp,ra1,m2-ra1.wav,SHHP,50.bmp,5,gi4,me2,ra1,zi3,48,78,50,98,3,2,1,4
,,10,,T14_04,T14_04.bmp,zi4,m2-zi4.wav,SLTI,3.bmp,4,fai1,zi4,gi4,zi3,135,3,48,45,2,4,3,1
,,11,,F47_06,F47_06.bmp,rai4,f1-rai4.wav,SLHP,58.bmp,6,be2,fi1,rai4,piu3,125,35,58,121,3,4,2,1
,,12,,T16_04,T16_04.bmp,pe1,f2-pe1.wav,SLTI,46.bmp,4,me1,pe2,biu4,pe1,40,68,111,46,4,2,1,3
,,13,,F36_05,F36_05.bmp,ri4,f1-ri4.wav,SHHP,119.bmp,5,zi2,ga3,be4,ri4,80,61,72,119,4,3,1,2
,,14,,F48_06,F48_06.bmp,zi3,m2-zi3.wav,SLHP,95.bmp,6,pe2,fai1,fi4,zi3,51,135,129,95,4,2,1,3
,,15,,F45_06,F45_06.bmp,me4,f2-me4.wav,SLHP,10.bmp,6,ga3,me4,piu2,gi1,42,10,26,31,2,1,4,3
,,16,,T02_01,T02_01.bmp,be2,f2-be2.wav,SHTP,73.bmp,1,ra3,be2,be4,fe2,120,73,72,53,2,3,4,1
,,17,,F31_07,F31_07.bmp,ziu4,m2-ziu4.wav,SHRY,123.bmp,7,gi3,ziu4,fe1,pe2,83,123,36,68,2,1,4,3
,,18,,F17_05,F17_05.bmp,be2,m2-be2.wav,SHHP,92.bmp,5,ziu3,ri1,be2,fi4,103,106,92,129,3,1,4,2
,,19,,T01_01,T01_01.bmp,ra1,f1-ra1.wav,SHTP,91.bmp,1,ra1,fe4,ga1,ra2,91,99,128,12,1,4,3,2
,,20,,F30_11,F30_11.bmp,zia2,m1-zia2.wav,FILL,9.bmp,11,fe1,ziu2,me3,zia2,36,38,110,9,4,2,1,3
,,21,,F41_06,F41_06.bmp,gi1,m1-gi1.wav,SLHP,97.bmp,6,gi1,ra3,piu2,pe4,97,120,71,107,1,3,2,4
,,22,,T11_03,T11_03.bmp,me4,m2-me4.wav,SLTP,17.bmp,3,rai1,me2,me4,pe4,112,78,17,107,3,2,4,1
,,23,,F32_09,F32_09.bmp,ri1,f1-ri1.wav,SHDI,106.bmp,9,biu3,ri1,fe1,piu4,41,106,108,39,2,1,3,3
,,24,,F33_10,F33_10.bmp,rai1,f1-rai1.wav,SLDI,112.bmp,10,rai1,piu4,zi2,me3,112,39,80,110,1,2,4,3
,,25,,T09_03,T09_03.bmp,piu2,f2-piu2.wav,SLTP,71.bmp,3,piu2,me3,biu2,piu1,71,110,136,19,1,4,3,2
,,26,,F23_05,F23_05.bmp,kiu4,m2-kiu4.wav,SHHP,104.bmp,5,fai2,kiu4,piu1,fi3,13,104,19,2,2,1,3,4
,,27,,F34_08,F34_08.bmp,biu2,f1-biu2.wav,SLRY,136.bmp,8,rai1,pe3,biu2,gi4,112,22,136,48,3,4,1,2
,,28,,F39_08,F39_08.bmp,gi4,m2-gi4.wav,SLRY,48.bmp,8,piu3,biu1,pe2,gi4,121,24,51,48,4,3,2,1
,,29,,T03_01,T03_01.bmp,fi3,m1-fi3.wav,SHTP,2.bmp,1,ri3,fi1,fi3,ga2,27,35,2,69,3,2,1,4
,,30,,F46_06,F46_06.bmp,piu2,f2-piu2.wav,SLHP,64.bmp,6,fi3,piu2,fe4,ziu1,56,64,99,33,2,1,3,4
,,31,,T12_03,T12_03.bmp,fai3,m1-fai3.wav,SLTP,66.bmp,3,fai4,rai3,gi2,fai3,32,79,134,66,4,1,2,3
,,32,,F18_05,F18_05.bmp,fe1,f2-fe1.wav,SHHP,36.bmp,5,biu2,fe1,ga4,zi3,136,36,82,98,2,4,3,1
,,33,,F40_08,F40_08.bmp,me1,m1-me1.wav,SLRY,40.bmp,8,me1,pe4,gi2,zi3,40,107,134,95,1,2,4,3
,,34,,T13_04,T13_04.bmp,biu3,m1-biu3.wav,SLTI,41.bmp,4,biu3,zi2,biu1,piu3,41,80,127,121,1,3,4,2
,,36,,F37_07,F37_07.bmp,kiu1,f2-kiu1.wav,SHRY,105.bmp,7,piu2,fai4,gi2,kiu1,26,32,134,105,4,2,1,3
,,37,,F43_05,F43_05.bmp,ziu2,m1-ziu2.wav,SHHP,23.bmp,5,ziu2,rai4,fe3,ri2,23,84,29,1,1,4,3,2
,,38,,T06_02,T06_02.bmp,fe3,m1-fe3.wav,SHTI,29.bmp,2,kiu2,fe3,fe1,be3,18,29,108,122,2,3,4,1
,,39,,F28_09,F28_09.bmp,fi4,m1-fi4.wav,SHDI,129.bmp,9,me1,fi4,fai3,ziu2,40,129,66,38,2,3,1,4
,,40,,F20_05,F20_05.bmp,ga3,f1-ga3.wav,SHHP,52.bmp,5,ziu2,kiu4,ra1,ga3,38,137,50,52,4,2,3,1
,,41,,T05_02,T05_02.bmp,ziu1,f2-ziu1.wav,SHTI,33.bmp,2,ziu1,ziu2,kiu1,ri4,33,38,105,20,1,2,3,4
,,42,,F44_06,F44_06.bmp,pe2,m1-pe2.wav,SLHP,51.bmp,6,pe2,biu4,ziu2,ra1,51,111,38,91,1,3,4,2
,,43,,T04_01,T04_01.bmp,kiu4,m2-kiu4.wav,SHTP,137.bmp,1,kiu3,ziu4,ri1,kiu4,114,123,106,137,4,1,2,3
,,44,,F29_09,F29_09.bmp,ga2,f2-ga2.wav,SHDI,69.bmp,9,ga2,ri4,fai3,fe1,69,65,55,36,1,4,3,2
,,45,,F27_07,F27_07.bmp,be3,f1-be3.wav,SHRY,122.bmp,7,be3,gi1,ziu3,kiu4,122,31,103,54,1,3,2,4
,,45,,F35_08,F35_08.bmp,fai2,f2-fai2.wav,SLRY,13.bmp,8,rai3,fai2,biu4,zi1,79,13,111,34,2,1,3,4
,,46,,T10_03,T10_03.bmp,gi1,f1-gi1.wav,SLTP,89.bmp,3,zi1,gi1,gi3,piu4,34,89,83,39,2,3,1,4
,,47,,F25_11,F25_11.bmp,bia1,m2-bia1.wav,FILL,85.bmp,11,zia2,riu3,bia1,pia4,9,75,85,76,3,4,2,1
,,48,,T07_02,T07_02.bmp,ri2,m2-ri2.wav,SHTI,1.bmp,2,fi2,ziu3,ri2,ri4,87,103,1,65,3,4,1,2
